Steam ID,Item,Date Acquired,Acquisition Method,Game Launcher,Purchase Type,Purchase Method,Total Spent (CDN),Hours Played,Release Date,Install Size (MB)
752590,A Plague Tale: Innocence,2021-09-12,Steam Store,Steam,Purchase,Visa,14.11,2.1,14-May-19,50000
1426450,Age of Darkness: Final Stand,2022-02-24,Steam Store,Steam,Purchase,Visa,21.18,63.2,2021-10-07,8000
226840,Age of Wonders III,2019-07-11,Complimentary,Steam,Free,,,0,31-Mar-14,10000
563560,Alien Swarm: Reactive Drop,2017-04-20,Complimentary,Steam,Free,,,18.2,20-Apr-17,10000
945360,Among Us,2020-08-28,Steam Store,Steam,Purchase,Visa,5.69,15.3,16-Nov-18,250
346110,ARK: Survival Evolved ,2022-06-12,Complimentary,Steam,Free,,,0.1,29-Aug-17,20000
33900,Arma 2,2012-12-24,Steam Store,Steam,Purchase,Wallet,19.7868,0.9,2009-06-29,10000
107410,Arma 3 Apex Edition,2018-06-22,Steam Store,Steam,Purchase,Visa,56.98,19.3,2013-09-12,15000
443110,Armored Warfare,2018-01-11,Complimentary,Steam,Free,,,2.5,17-Nov-17,34000
507490,Ashes of the Singularity: Escalation,2020-05-07,Retail,Steam,Free,,,0,10-Nov-16,27000
208480,Assassin's Creed 3 Standard Edition,2014-06-27,Steam Store,Steam,Purchase,MasterCard,6.5868,6.3,20-Nov-12,17000
34900,Bad Rats: the Rats Revenge,2015-08-03,Gift/Guest Pass,Steam,Free,,,0,20-Jul-09,300
1238860,Battlefied 4,2013-11-01,EA Store,EA Play,Purchase,Visa,67.79,188,2013-10-19,30000
637090,BATTLETECH,2018-05-19,Retail,Steam,Purchase,Visa,45.49,68.6,24-Apr-18,15000
582660,Black Desert Online ,2020-02-29,Complimentary,Steam,Free,,,0,24-May-17,52000
550650,Black Squad,2017-09-09,Complimentary,Steam,Free,,,24.6,28-Jul-17,5000
209870,Blacklight: Retribution,2014-12-19,Complimentary,Steam,Free,,,6.2,02-Jul-12,8000
49520,Borderlands 2 ROW,2014-02-09,Steam Store,Steam,Purchase,MasterCard,13.1868,49.4,2012-09-18,13000
42700,Call of Duty: Black Ops Retail,2010-12-24,Retail,Steam,Free,,,84,09-Nov-10,12000
10180,Call of Duty: Modern Warfare 2 ,2012-11-26,Steam Store,Steam,Purchase,Visa,13.1868,12.5,12-Nov-09,12000
1824220,Chivalry 2 ,2023-05-07,Retail,Steam,Purchase,MasterCard,13.1868,106.7,"12 June, 2022",35000
46430,Chrome + Chrome: Specforce,2012-11-26,Steam Store,Steam,Purchase,MasterCard,2.6268,6.6,2010-05-14,600
355180,Codename CURE,2015-08-22,Complimentary,Steam,Free,,,0.9,2017-10-31,4000
24800,Command and Conquer: Red Alert 3 - Uprising,2013-09-15,Retail,Steam,Free,,,40.8,06-Oct-09,10000
231430,Company of Heroes 2: Master Collection,2017-06-28,Steam Store,Steam,Purchase,Visa,11.24,136.2,25-Jun-13,20000
203770,Crusader Kings II Free,2018-04-05,Complimentary,Steam,Free,,,19.5,14-Feb-12,2000
1091500,Cyberpunk 2077,2020-12-09,GOG ,GOG Galaxy,Purchase,Visa,79.99,,2020-12-10,70000
262060,Darkest Dungeon,2021-04-27,Steam Store,Steam,Purchase,Wallet,14.59,40.7,19-Jan-16,900
223750,DCS World,2016-08-16,Complimentary,Steam,Free,,,0.7,02-Aug-13,10000
744900,Dead Frontier 2,2018-09-18,Complimentary,Steam,Free,,,0.3,2019-07-15,8000
548430,Deep Rock Galactic,2022-07-06,Steam Store,Steam,Purchase,Visa,13.04,34.5,28-Feb-18,10000
224600,Defiance Standard Edition,2013-05-26,Steam Store,Steam,Purchase,MasterCard,55.4268,27.2,04-Jun-14,15000
1085660,Destiny 2,2019-10-11,Complimentary,Steam,Free,,,2.3,01-Oct-19,105000
337000,Deus Ex: Mankind Divided,2019-06-23,Steam Store,Steam,Purchase,Visa,8.98,1.5,23-Aug-16,45000
333930,Dirty Bomb,2018-08-29,Complimentary,Steam,Free,,,0,Jun-15,5000
217790,Dogfight 1942,2012-11-25,Steam Store,Steam,Purchase,Visa,13.1868,4.6,21-Sep-12,2950
322330,Don't Starve Together,2020-06-17,Steam Store,Steam,Purchase,Visa,5.77,5.9,21-Apr-16,500
237310,Elsword,2020-06-18,Complimentary,Steam,Free,,,0,02-Jul-14,1300
236850,Europa Universalis IV,2016-12-24,Gift/Guest Pass,Steam,Free,,,309.5,13-Aug-13,2000
588430,Fallout Shelter,2020-05-11,Complimentary,Steam,Free,,,0,29-Mar-17,2000
298110,Far Cry 4,2016-07-03,Steam Store,Steam,Purchase,Visa,24.99,5.4,Nov-14,30000
1044720,Farthest Frontier,2022-08-31,Steam Store,Steam,Purchase,PayPal,38.41,30.2,2021,20000
292120,FINAL FANTASY XIII (NE),2015-01-01,Steam Store,Steam,Purchase,MasterCard,8.99,3,09-Oct-14,60000
323190,Frostpunk,2023-04-28,Retail,Steam,Purchase,Visa,10.6,31,24-Apr-18,3000
212680,FTL: Faster Than Light,2014-06-28,Steam Store,Steam,Purchase,Wallet,5.2668,74.5,14-Sep-12,175
4000,Garry's Mod,2014-02-19,Gift/Guest Pass,Steam,Free,,,1.1,29-Nov-06,3770
12210,Grand Theft Auto IV (US/AU),2012-11-25,Steam Store,Steam,Purchase,Visa,13.1868,26.4,2008-12-02,22000
271590,Grand Theft Auto V,2018-10-03,Steam Store,Steam,Purchase,Visa,19.79,26.4,13-Apr-15,72000
493520,GTFO,2021-12-13,Steam Store,Steam,Purchase,Visa,38.13,13.8,2021-12-10,15000
1816670,GUNDAM EVOLUTION,2022-09-20,Complimentary,Steam,Free,,,2.5,2022-09-20,40000
1240440,Halo Infinite,2021-11-16,Complimentary,Steam,Free,,,28.6,2021-11-15,50000
1064221,Halo: Combat Evolved Anniversary,2021-08-13,Gift/Guest Pass,Steam,Free,,,,2020-03-03,20000
271290,HAWKEN,2014-08-29,Complimentary,Steam,Free,,,0.7,14-Feb-14,5000
394360,Hearts of Iron IV,2021-04-26,Retail,Steam,Purchase,Visa,10.11,18.8,06-Jun-16,2000
686810,Hell Let Loose,2020-11-02,Steam Store,Steam,Purchase,Visa,25.49,3.5,06-Jun-19,30000
394510,HELLDIVERS™ Dive Harder Edition,2019-07-06,Steam Store,Steam,Purchase,Visa,9.99,28.3,07-Dec-15,7000
227940,Heroes & Generals,2014-07-18,Complimentary,Steam,Free,,,0.5,18-Oct-16,2000
374280,Hired Ops,2019-08-15,Complimentary,Steam,Free,,,1.1,21-Oct-16,8000
342570,HIS (Heroes In the Sky),2015-03-04,Complimentary,Steam,Free,,,0,03-Mar-15,1500
222880,Insurgency,2017-04-19,Steam Store,Steam,Purchase,Visa,5.49,50,22-Jan-14,6000
581320,Insurgency: Sandstorm,2020-06-03,Retail,Steam,Purchase,Visa,5.49,36.6,12-Dec-18,40000
590380,Into the Breach,2022-04-07,Steam Store,Steam,Purchase,Visa,9.88,1.6,27-Feb-18,300
232090,Killing Floor 2,2016-06-27,Steam Store,Steam,Purchase,Visa,22.1,6.9,18-Nov-16,10000
550,Left 4 Dead 2,2012-06-21,Steam Store,Steam,Purchase,MasterCard,26.3868,65.4,17-Nov-09,13000
204120,LEGO Harry Potter: Years 5-7,2013-02-01,Steam Store,Steam,Purchase,MasterCard,26.3868,11.7,05-Jan-12,8500
12150,Max Payne 2,2016-06-18,Retail,Steam,Free,,,0,04-Jan-08,1500
244450,Men of War: Assault Squad 2 - Gold Edition,2017-06-23,Steam Store,Steam,Purchase,Visa,8.79,9.2,15-May-14,6000
287700,METAL GEAR SOLID V: The Definitive Experience,2020-06-25,Steam Store,Steam,Purchase,Visa,9.99,2.2,01-Sep-15,28000
582010,Monster Hunter: World,2018-08-18,Retail,Steam,Purchase,Visa,74.99,31.8,09-Aug-18,48000
261550,Mount & Blade II: Bannerlord,2020-04-03,Steam Store,Steam,Purchase,Visa,58.49,249.8,30-Mar-20,60000
760060,Mutant Year Zero: Road to Eden,2019-06-26,Steam Store,Steam,Purchase,Visa,26.39,17.6,2018-12-04,8000
247730,Nether - Watcher,2014-07-03,Gift/Guest Pass,Steam,Free,,,0.3,05-Jun-14,3000
457140,Oxygen Not Included,2020-06-19,Steam Store,Steam,Purchase,Visa,16.79,46.5,18-May-17,2000
238960,Path of Exile,2017-09-17,Complimentary,Steam,Free,,,2.5,23-Oct-13,5000
218620,PAYDAY 2,2014-06-23,Steam Store,Steam,Purchase,MasterCard,13.0548,86,13-Aug-13,8000
24240,Payday: The Heist - Four Pack,2012-10-21,Steam Store,Steam,Purchase,Wallet,19.7868,10.5,20-Oct-11,2300
703080,Planet Zoo,2022-07-27,Steam Store,Steam,Purchase,Visa,46.65,0.7,05-Nov-19,16000
218230,PlanetSide 2,2021-07-30,Complimentary,Steam,Free,,,6.5,20-Nov-12,15000
1241100,POLYGON,2022-04-05,Complimentary,Steam,Free,,,0.4,06-Mar-20,2000
108600,Project Zomboid,2022-01-15,Steam Store,Steam,Purchase,Visa,25.75,245.5,08-Nov-13,5000
294100,RimWorld,2018-06-27,Steam Store,Steam,Purchase,Visa,33.99,1802.2,15-Jul-16,1000
755790,Ring of Elysium,2018-10-01,Complimentary,Steam,Free,,,0.6,2019-06-24,10000
418460,Rising Storm 2: Vietnam,2020-06-30,Steam Store,Steam,Purchase,Visa,9.23,24.2,30-May-17,12000
252490,Rust ,2014-02-08,Steam Store,Steam,Purchase,Visa,26.3868,23.8,08-Feb-18,1000
55230,Saints Row: The Third Retail,2012-12-01,Retail,Steam,Purchase,MasterCard,23.7072,69.5,15-Nov-11,10000
678800,SAS: Zombie Assault 4,2019-07-08,Complimentary,Steam,Free,,,0,16-Oct-17,512
234650,Shadowrun Returns Deluxe,2018-06-21,Retail,Steam,Free,,,0.1,25-Jul-13,2000
3900,Sid Meier's Civilization IV,2012-10-19,Steam Store,Steam,Purchase,MasterCard,26.3868,24.9,25-Oct-06,1700
8930,Sid Meier's Civilization V: Complete,2015-03-19,Steam Store,Steam,Purchase,PayPal,13.74,135.7,21-Sep-10,8000
72850,Skyrim,2014-06-29,Steam Store,Steam,Purchase,MasterCard,6.5868,0.6,10-Nov-11,6000
63380,Sniper Elite V2,2014-06-04,Complimentary,Steam,Free,,,2.3,30-Apr-12,10000
244850,Space Engineers,2014-02-19,Steam Store,Steam,Purchase,PayPal,13.2528,2.3,23-Oct-13,2000
979110,Space Haven,2020-12-02,Steam Store,Steam,Purchase,Visa,21.59,68.9,21-May-20,250
1237950,Star Wars: Battlefront 2 (2017),2018-12-20,EA Store,EA Play,Purchase,Visa,6,17,2017-11-16,60000
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2012-05-18,Steam Store,Steam,Purchase,Visa,13.1868,26,08-Jul-09,4300
413150,Stardew Valley,2018-12-31,Steam Store,Steam,Purchase,Visa,12.74,0.3,26-Feb-16,500
281990,Stellaris,2020-05-16,Steam Store,Steam,Purchase,Visa,53.59,580.9,09-May-16,4000
843380,Super Animal Royale F2P,2021-05-03,Complimentary,Steam,Free,,,3.4,12-Dec-18,900
440,Team Fortress 2 - In-Game Upgrades,2012-10-19,Complimentary,Steam,Purchase,Wallet,11.7744,100.8,10-Oct-07,15000
868270,The Cycle: Frontier,2022-06-23,Complimentary,Steam,Free,,,0.3,2022-06-08,37000
312990,The Expendabros,2014-08-29,Complimentary,Steam,Free,,,0,05-Aug-14,150
20920,The Witcher 2,2016-10-21,Steam Store,Steam,Purchase,Visa,2,2.5,16-Apr-12,25000
292030,The Witcher 3: Wild Hunt,2016-06-25,Steam Store,Steam,Purchase,Visa,54.98,267.2,18-May-15,35000
20900,The Witcher: Enhanced Edition,2016-10-21,Steam Store,Steam,Purchase,Visa,2.93,0.4,19-Sep-08,15000
48160,Tom Clancy's H.A.W.X. 2 (NCSA),2012-11-26,Steam Store,Steam,Purchase,Visa,17.6748,22.3,22-Nov-10,9000
2221490,Tom Clancy's The Division 2,2019-03-15,Ubisoft,Ubisoft Connect,Purchase,Visa,103.95,22.3,2019-03-15,77000
203160,Tomb Raider,2020-03-20,Complimentary,Steam,Free,,,0,2013-03-05,12000
34330,Total War: SHOGUN 2,2020-04-28,Complimentary,Steam,Free,,,2.5,15-Mar-11,32000
57690,Tropico 4 Retail,2014-06-13,Retail,Steam,Free,,,19.2,01-Sep-11,5000
492720,Tropico 6,2019-09-04,Steam Store,Steam,Purchase,Visa,39.89,0.9,"March 29th, 2019",16000
616560,Ultimate Epic Battle Simulator Limited ,2021-01-29,Complimentary,Steam,Free,,,0,01-Jun-17,5000
583010,VoiceAttack,2020-06-06,Steam Store,Steam,Purchase,Visa,12.99,37.5,18-Mar-17,155
431960,Wallpaper Engine,2019-01-09,Steam Store,Steam,Purchase,Visa,4.49,4.1,10-Oct-16,512
236390,War Thunder,2013-02-11,Gaijin Store,Gaijin,Purchase,Visa,649.225,2437,15-Aug-13,95000
291480,Warface,2014-07-02,Complimentary,Steam,Free,,,3.1,01-Jul-14,6000
230410,Warframe,2017-10-14,Steam Store,Steam,Purchase,Visa,33.9,329.2,25-Mar-13,50000
251060,Wargame: Red Dragon,2020-07-03,Steam Store,Steam,Purchase,Visa,12.9,77.9,17-Apr-14,20000
4570,"Warhammer 40,000: Dawn of War",2013-11-20,Retail,Steam,Free,,,0.1,2007-08-07,2633
552500,Warhammer: Vermintide 2,2022-11-05,Complimentary,Steam,Free,,,0.5,2018-03-08,105000
1527950,Wartales,2022-07-04,Steam Store,Steam,Purchase,Visa,36.15,1.4,2023-04-12,30000
699130,World War Z: Aftermath,2023-03-03,Retail,Steam,Purchase,Visa,29.99,8.1,2021-09-21,50000
